id_cliente,evasao,genero,idoso,parceiro,dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_internet,protecao_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_digital,metodo_pagamento,contas_diarias,cobranca_mensal,cobranca_total
1179-inlat,nao,homem,nao,nao,nao,3,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,sim,cheque correios,0.77,19.45,69.25
1183-canvh,nao,mulher,nao,sim,nao,23,sim,nao,dsl,nao,nao,nao,sim,sim,nao,anual,nao,transferencia automatica,1.95,60.0,1347.15
1184-pjvdb,sim,homem,nao,sim,nao,10,sim,nao,fibra otica,nao,nao,nao,nao,sim,nao,mensal,sim,cheque eletronico,2.86,79.95,857.2
1187-wilmm,nao,homem,nao,sim,sim,63,sim,sim,dsl,sim,sim,sim,sim,sim,sim,bienal,sim,cartao credito automatico,2.96,89.4,5597.65
1193-rtslk,sim,mulher,nao,nao,nao,38,sim,nao,fibra otica,sim,sim,sim,nao,nao,nao,mensal,sim,cartao credito automatico,2.84,83.9,3233.6
1194-bhjyc,nao,homem,nao,sim,nao,61,nao,sem telefone,dsl,sim,nao,sim,sim,sim,sim,bienal,sim,cheque correios,2.06,62.15,3778.85
1194-hvaif,nao,mulher,nao,sim,nao,27,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,mensal,nao,cartao credito automatico,3.04,95.0,2462.55
1194-spvsp,nao,homem,nao,nao,nao,1,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,transferencia automatica,0.65,19.65,19.65
1195-oiyej,sim,homem,nao,nao,nao,13,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,mensal,sim,cheque eletronico,2.91,91.1,1135.7
1196-amora,sim,homem,nao,nao,nao,7,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,2.48,73.6,520.0
1197-bvmvg,nao,mulher,sim,nao,nao,4,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.45,74.45,294.45
1200-tuzhr,nao,mulher,sim,nao,nao,8,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mensal,nao,cheque eletronico,2.9,85.2,695.75
1202-kkgfu,nao,mulher,nao,sim,nao,12,sim,nao,dsl,sim,nao,nao,sim,nao,nao,mensal,nao,transferencia automatica,1.92,54.2,690.5
1205-wnwpj,sim,mulher,nao,nao,nao,7,sim,nao,dsl,nao,nao,nao,sim,sim,nao,mensal,sim,cheque correios,1.98,59.5,415.95
1206-ehbdd,nao,mulher,nao,sim,nao,56,sim,nao,fibra otica,sim,nao,sim,nao,nao,nao,bienal,nao,transferencia automatica,2.69,80.3,4513.65
1207-blksa,nao,mulher,nao,sim,sim,52,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.8,23.05,1255.1
1208-dnhln,sim,homem,nao,sim,sim,23,sim,sim,dsl,nao,nao,nao,nao,nao,nao,anual,sim,cartao credito automatico,1.55,48.35,1067.15
1208-nbvfh,nao,homem,nao,sim,sim,20,sim,nao,dsl,nao,nao,sim,nao,nao,nao,mensal,sim,cheque eletronico,1.57,49.6,939.8
1209-vffoc,nao,homem,nao,sim,sim,68,nao,sem telefone,dsl,sim,sim,sim,sim,nao,sim,bienal,sim,cheque correios,1.94,56.4,3948.45
1212-glhmd,nao,homem,nao,nao,nao,3,sim,nao,fibra otica,sim,nao,nao,nao,nao,sim,mensal,sim,cheque correios,2.72,86.05,244.85
1213-ngcun,sim,mulher,nao,nao,nao,6,sim,nao,dsl,nao,nao,nao,sim,nao,nao,mensal,sim,transferencia automatica,1.49,49.65,267.35
1215-exrmo,nao,homem,nao,sim,nao,50,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.71,20.55,1067.65
1215-figmp,nao,homem,nao,nao,nao,60,sim,sim,fibra otica,nao,sim,nao,nao,sim,nao,mensal,sim,transferencia automatica,3.03,89.9,5450.7
1215-vfyvk,nao,mulher,nao,nao,nao,4,nao,sem telefone,dsl,sim,nao,sim,sim,nao,sim,mensal,nao,cheque correios,1.69,48.25,202.25
1216-bgtsp,nao,homem,nao,nao,nao,45,sim,sim,fibra otica,sim,nao,sim,sim,sim,sim,mensal,sim,cartao credito automatico,3.68,108.45,4964.7
1216-jwvux,nao,homem,nao,sim,sim,25,sim,nao,fibra otica,nao,sim,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.53,75.5,1901.05
1217-vaswc,nao,homem,sim,sim,nao,43,sim,nao,fibra otica,nao,sim,sim,nao,sim,sim,anual,sim,transferencia automatica,3.34,100.55,4304.0
1218-vkfpe,sim,mulher,nao,sim,sim,12,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.65,19.0,233.55
1219-nnddo,nao,mulher,nao,nao,nao,9,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.46,76.85,663.55
1221-ghzep,nao,mulher,nao,nao,nao,62,sim,nao,dsl,sim,nao,nao,sim,nao,sim,bienal,sim,cheque correios,2.07,65.1,3846.75
1222-kjnzd,nao,homem,nao,sim,sim,40,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,transferencia automatica,0.62,20.4,745.3
1222-lryko,nao,homem,nao,nao,sim,6,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,1.02,26.35,184.05
1223-unpks,nao,homem,nao,sim,sim,20,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.67,20.05,400.0
1226-ienzn,nao,homem,sim,nao,nao,16,sim,nao,fibra otica,nao,nao,nao,nao,nao,sim,mensal,sim,cheque eletronico,2.54,78.75,1218.25
1226-jznkr,nao,mulher,nao,sim,sim,8,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,cheque eletronico,0.67,19.8,160.05
1226-udfzr,sim,mulher,nao,nao,nao,2,sim,nao,dsl,nao,sim,nao,nao,nao,nao,mensal,sim,cheque correios,1.91,49.6,114.7
1227-udmzr,nao,mulher,nao,sim,nao,72,sim,sim,dsl,sim,sim,sim,sim,sim,sim,bienal,sim,transferencia automatica,3.07,91.15,6637.9
1228-fzfrv,sim,homem,nao,sim,sim,50,sim,sim,fibra otica,sim,nao,sim,nao,sim,sim,mensal,nao,cartao credito automatico,3.56,105.95,5341.8
1228-zlnbx,nao,homem,nao,nao,nao,21,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,nao,cheque correios,2.49,75.3,1570.7
1229-rcalf,nao,mulher,nao,sim,nao,64,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,anual,sim,cheque eletronico,3.85,115.0,7396.15
1230-qajdw,nao,homem,nao,nao,nao,3,sim,sim,dsl,nao,nao,nao,sim,sim,nao,mensal,sim,cheque correios,2.33,65.25,209.9
1231-yndek,nao,homem,nao,nao,nao,58,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,sim,transferencia automatica,0.6,19.15,1035.5
1236-wfcdv,sim,homem,sim,nao,nao,14,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,mensal,nao,cartao credito automatico,3.01,90.45,1266.1
1237-wiyyz,nao,mulher,nao,nao,nao,18,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,cheque correios,0.72,19.55,389.25
1240-hcboh,nao,mulher,nao,nao,nao,67,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,sim,cheque correios,0.88,26.1,1759.55
1240-knsez,sim,homem,nao,nao,nao,1,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,cheque correios,0.67,20.1,20.1
1241-ezfmj,nao,homem,nao,sim,nao,61,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,transferencia automatica,0.84,25.45,1538.6
1241-fpmof,nao,homem,nao,nao,nao,52,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.66,19.65,1025.05
1245-harps,nao,mulher,nao,sim,nao,14,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.7,20.4,292.4
1247-qbvsh,nao,mulher,nao,sim,sim,43,sim,nao,dsl,nao,sim,nao,nao,nao,nao,mensal,nao,cheque correios,1.68,50.2,2169.4
1248-dyxub,nao,homem,nao,sim,sim,52,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.79,24.8,1229.1
1251-krreg,sim,homem,nao,nao,nao,2,sim,sim,dsl,nao,sim,nao,nao,nao,nao,mensal,sim,cheque correios,1.9,54.4,114.1
1251-stysz,nao,mulher,sim,nao,nao,4,sim,sim,fibra otica,sim,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.53,80.25,303.7
1254-izeyf,sim,mulher,sim,nao,nao,31,sim,sim,fibra otica,nao,sim,nao,nao,sim,sim,mensal,sim,cheque eletronico,3.43,99.95,3186.65
1257-sxuxq,nao,homem,nao,sim,sim,5,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.57,19.45,86.05
1258-ymznm,nao,mulher,sim,nao,nao,27,sim,sim,fibra otica,sim,sim,sim,nao,sim,sim,anual,sim,transferencia automatica,3.53,110.5,2857.6
1260-ttrxi,sim,homem,nao,nao,nao,4,sim,nao,dsl,nao,nao,nao,nao,nao,sim,mensal,nao,cheque eletronico,1.63,54.3,195.3
1261-fwtte,nao,homem,sim,nao,nao,23,nao,sem telefone,dsl,nao,nao,nao,nao,nao,sim,mensal,sim,transferencia automatica,1.11,34.65,768.45
1262-opmfy,sim,mulher,nao,sim,nao,9,sim,nao,fibra otica,nao,nao,sim,nao,nao,nao,mensal,sim,transferencia automatica,2.43,75.75,655.9
1264-bywms,sim,homem,nao,nao,nao,55,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,mensal,sim,cheque eletronico,3.2,96.8,5283.95
1264-fuhcx,nao,mulher,nao,sim,nao,49,nao,sem telefone,dsl,nao,sim,nao,sim,sim,sim,anual,sim,cartao credito automatico,1.89,56.3,2780.6
1265-bcfeo,nao,mulher,nao,sim,nao,71,sim,sim,dsl,nao,nao,sim,sim,sim,sim,bienal,sim,transferencia automatica,2.66,80.45,5662.25
1265-hvpzb,nao,homem,nao,sim,nao,59,sim,nao,dsl,sim,sim,sim,nao,sim,nao,anual,nao,cartao credito automatico,2.24,66.4,3958.2
1265-xtecc,sim,mulher,sim,sim,nao,68,sim,sim,fibra otica,sim,sim,nao,nao,nao,sim,anual,sim,cartao credito automatico,3.23,96.55,6581.9
1265-zfosd,nao,mulher,nao,sim,nao,64,sim,sim,dsl,sim,sim,sim,sim,nao,sim,bienal,sim,cheque correios,2.67,81.3,5129.3
1266-nzyui,nao,mulher,nao,sim,sim,72,sim,sim,dsl,sim,nao,sim,sim,nao,nao,bienal,nao,transferencia automatica,2.2,66.85,4758.8
1268-asbga,sim,mulher,sim,sim,nao,16,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mensal,sim,cartao credito automatico,2.86,85.35,1375.15
1269-foywn,nao,homem,nao,sim,sim,44,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,transferencia automatica,0.65,20.0,860.85
1270-xkucc,nao,mulher,nao,sim,sim,30,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.67,19.7,599.25
1271-sjbgz,sim,homem,sim,nao,nao,12,nao,sem telefone,dsl,nao,nao,sim,sim,nao,sim,mensal,sim,cheque eletronico,1.46,43.65,526.95
1271-uodno,nao,homem,nao,nao,nao,39,sim,sim,dsl,nao,nao,nao,sim,nao,nao,bienal,sim,cartao credito automatico,1.88,53.85,2200.7
1272-ilhfg,nao,homem,nao,sim,sim,15,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,cheque correios,0.74,19.65,332.65
1273-mteti,sim,mulher,sim,nao,nao,4,sim,sim,fibra otica,nao,nao,sim,nao,nao,sim,mensal,sim,cheque eletronico,3.1,88.85,372.45
1282-ihqac,nao,homem,sim,nao,nao,70,nao,sem telefone,dsl,nao,sim,sim,nao,sim,nao,anual,sim,cartao credito automatico,1.43,44.05,3011.65
1285-okipp,sim,homem,nao,nao,nao,1,sim,nao,fibra otica,nao,nao,nao,nao,nao,sim,mensal,nao,cheque eletronico,2.66,79.9,79.9
1291-cuocy,nao,homem,nao,sim,nao,72,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,bienal,sim,cartao credito automatico,3.69,110.6,7962.2
1293-bseun,nao,mulher,nao,sim,sim,72,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,sim,cheque correios,0.69,20.7,1482.3
1293-hhshj,nao,mulher,nao,nao,nao,35,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,cheque correios,0.71,21.1,741.0
1297-vqdrp,nao,homem,sim,sim,sim,68,sim,sim,fibra otica,nao,nao,sim,sim,sim,sim,anual,sim,cartao credito automatico,3.62,107.15,7379.8
1298-phbti,nao,homem,nao,sim,sim,71,sim,sim,fibra otica,nao,sim,nao,sim,nao,nao,bienal,sim,cheque eletronico,2.89,84.8,6152.4
1299-aurja,nao,mulher,nao,sim,sim,70,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,transferencia automatica,0.8,24.7,1685.9
1301-lopvr,nao,homem,nao,sim,sim,29,nao,sem telefone,dsl,sim,sim,sim,sim,nao,sim,anual,sim,cartao credito automatico,1.88,55.35,1636.95
1302-tpubn,nao,homem,nao,nao,nao,66,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,transferencia automatica,0.63,19.35,1240.8
1302-uhbdd,nao,homem,sim,nao,nao,20,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,mensal,nao,cheque eletronico,2.75,89.95,1648.45
1303-srdok,nao,mulher,nao,sim,sim,55,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,bienal,sim,cartao credito automatico,2.33,69.05,3842.6
1304-bccfo,nao,homem,nao,sim,nao,9,sim,nao,dsl,nao,nao,sim,nao,sim,sim,mensal,sim,cheque correios,2.09,70.05,564.4
1304-necvq,sim,mulher,sim,nao,nao,2,sim,sim,fibra otica,nao,nao,sim,nao,nao,nao,mensal,sim,cheque eletronico,2.49,78.55,149.55
1304-segfy,nao,mulher,nao,sim,nao,72,sim,sim,fibra otica,nao,nao,sim,nao,sim,sim,bienal,sim,cheque eletronico,3.17,97.85,6841.3
1306-rpwxz,nao,mulher,nao,nao,sim,49,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cartao credito automatico,0.7,20.45,1024.65
1307-atkgb,nao,homem,nao,nao,nao,24,sim,nao,fibra otica,nao,sim,sim,nao,nao,sim,mensal,sim,cheque eletronico,3.04,89.55,2187.15
1307-tvufb,nao,homem,sim,nao,nao,42,sim,sim,fibra otica,nao,sim,nao,nao,nao,nao,mensal,sim,transferencia automatica,2.65,79.35,3344.1
1309-bxvoq,sim,homem,nao,sim,nao,21,sim,sim,fibra otica,nao,nao,sim,sim,sim,sim,mensal,sim,cheque eletronico,3.57,106.1,2249.95
1309-xgfsn,nao,homem,sim,sim,sim,52,sim,sim,dsl,nao,sim,sim,nao,sim,sim,anual,sim,cheque eletronico,2.62,80.85,4079.55
1310-qritu,nao,mulher,nao,nao,nao,18,sim,sim,dsl,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,1.69,50.3,913.3
1319-ylzjg,nao,homem,nao,sim,nao,12,sim,nao,fibra otica,sim,sim,sim,nao,nao,nao,mensal,sim,cheque eletronico,2.67,84.6,959.9
1320-gvnht,nao,homem,nao,sim,sim,72,sim,sim,fibra otica,sim,sim,sim,nao,sim,sim,bienal,sim,cartao credito automatico,3.6,108.4,7767.25
1320-htrdr,sim,mulher,nao,nao,nao,3,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.45,75.5,220.6
1320-rehcs,nao,homem,sim,nao,nao,52,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,mensal,sim,cheque eletronico,3.74,110.75,5832.0
1322-agoqm,sim,homem,nao,nao,nao,46,nao,sem telefone,dsl,nao,sim,nao,nao,nao,nao,mensal,nao,transferencia automatica,1.0,30.3,1380.1
1323-ooepc,sim,mulher,nao,sim,nao,53,sim,sim,fibra otica,nao,sim,nao,nao,sim,sim,mensal,sim,cartao credito automatico,3.24,98.4,5149.5
1324-nltje,sim,mulher,sim,nao,nao,15,sim,sim,dsl,nao,nao,nao,sim,nao,nao,mensal,nao,cartao credito automatico,1.68,55.0,757.1
1325-usmec,nao,homem,nao,sim,nao,70,sim,sim,fibra otica,sim,sim,sim,nao,sim,nao,bienal,sim,cartao credito automatico,3.31,99.35,6944.5
1328-euzhc,nao,mulher,nao,sim,nao,18,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.69,20.1,370.5
1329-vhwnp,nao,mulher,nao,nao,nao,7,nao,sem telefone,dsl,nao,nao,nao,nao,nao,nao,mensal,nao,transferencia automatica,0.9,25.05,189.95
1333-pbmxb,nao,mulher,nao,sim,sim,54,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,sim,transferencia automatica,0.83,24.75,1342.15
1334-fjsvr,sim,homem,nao,nao,nao,1,nao,sem telefone,dsl,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,0.81,24.25,24.25
1334-pdukm,nao,mulher,nao,sim,nao,68,sim,sim,fibra otica,nao,sim,sim,nao,nao,nao,anual,nao,cartao credito automatico,2.82,86.45,5762.95
1335-hqmkx,nao,mulher,nao,sim,nao,72,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,anual,sim,cheque eletronico,3.39,101.35,7323.15
1335-mxcse,nao,homem,nao,sim,sim,55,sim,nao,dsl,nao,nao,sim,sim,nao,nao,bienal,sim,cartao credito automatico,1.89,55.25,3119.9
1335-ntiuc,nao,homem,nao,nao,nao,9,nao,sem telefone,dsl,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,0.7,24.95,190.25
1336-ezfzy,nao,mulher,nao,nao,nao,4,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.69,20.05,83.3
1337-bozwo,nao,homem,nao,sim,sim,18,nao,sem telefone,dsl,nao,sim,sim,nao,sim,nao,anual,nao,cartao credito automatico,1.5,46.4,812.4
1338-cecee,nao,homem,nao,sim,sim,41,sim,sim,dsl,nao,sim,sim,nao,sim,nao,anual,nao,transferencia automatica,2.31,68.5,2839.95
1342-jpnki,sim,homem,nao,nao,nao,10,sim,sim,fibra otica,nao,nao,nao,nao,sim,nao,mensal,sim,transferencia automatica,2.78,86.05,834.1
1343-ehpyb,sim,homem,nao,sim,nao,63,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mensal,sim,cheque eletronico,3.49,103.4,6603.0
1345-gkdzz,nao,homem,nao,nao,sim,6,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.71,19.55,128.6
1345-zukid,nao,homem,nao,nao,nao,14,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,cheque correios,0.77,19.35,324.8
1346-pjwtk,nao,homem,nao,sim,nao,61,sim,nao,fibra otica,nao,sim,sim,sim,nao,sim,mensal,nao,cartao credito automatico,3.13,94.15,5731.85
1346-ufhax,nao,mulher,nao,nao,nao,13,sim,sim,fibra otica,sim,nao,nao,nao,nao,nao,mensal,sim,cartao credito automatico,2.64,80.0,1029.35
1347-kttta,nao,homem,nao,sim,nao,64,sim,nao,fibra otica,nao,sim,sim,sim,sim,sim,anual,sim,cartao credito automatico,3.47,102.45,6654.1
1349-wxngg,sim,homem,nao,nao,nao,1,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,transferencia automatica,0.67,20.05,20.05
1352-hnsaw,nao,mulher,nao,sim,sim,72,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,bienal,sim,transferencia automatica,3.81,115.6,8220.4
1352-vhkaj,nao,homem,nao,sim,sim,27,sim,sim,dsl,nao,nao,nao,sim,sim,sim,mensal,nao,transferencia automatica,2.42,71.6,1957.1
1353-ghzos,nao,homem,nao,sim,nao,22,sim,nao,dsl,sim,nao,nao,nao,sim,nao,anual,sim,transferencia automatica,2.08,59.75,1374.35
1353-ljwem,nao,homem,nao,nao,nao,11,sim,nao,dsl,nao,sim,sim,sim,nao,nao,mensal,sim,cheque eletronico,2.09,60.9,688.5
1354-yzfnb,nao,homem,nao,sim,sim,4,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cartao credito automatico,0.57,19.55,68.8
1355-kusbg,nao,mulher,nao,sim,sim,7,sim,sim,dsl,nao,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,1.67,48.8,349.8
1356-mkysk,nao,homem,nao,nao,nao,6,sim,nao,dsl,sim,nao,sim,sim,sim,sim,mensal,nao,cartao credito automatico,2.68,78.65,483.3
1357-bijki,nao,homem,nao,sim,nao,50,sim,sim,fibra otica,nao,sim,nao,nao,sim,sim,anual,sim,cheque eletronico,3.24,98.25,4858.7
1357-mvdoz,nao,homem,nao,sim,sim,11,sim,nao,dsl,nao,nao,sim,nao,sim,nao,mensal,sim,transferencia automatica,2.07,59.65,683.25
1360-jyxkq,nao,mulher,sim,sim,nao,54,sim,nao,fibra otica,nao,nao,sim,sim,sim,sim,anual,sim,cheque eletronico,3.36,99.1,5437.1
1360-rcyrt,nao,homem,nao,sim,sim,23,nao,sem telefone,dsl,nao,nao,nao,sim,nao,nao,mensal,sim,transferencia automatica,0.98,30.35,678.75
1360-xfjmr,nao,mulher,nao,sim,nao,67,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,anual,sim,cartao credito automatico,3.65,109.7,7344.45
1363-txlsl,sim,homem,sim,sim,nao,1,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,2.34,70.3,70.3
1370-ggawx,nao,mulher,nao,nao,nao,46,sim,sim,fibra otica,nao,sim,sim,nao,nao,sim,anual,sim,cheque eletronico,3.19,94.15,4408.45
1371-dwpaz,nao,mulher,nao,sim,sim,0,nao,sem telefone,dsl,sim,sim,sim,sim,sim,nao,bienal,nao,cartao credito automatico,,56.05,0.0
1371-ojcek,nao,mulher,nao,nao,nao,48,sim,sim,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,transferencia automatica,0.79,24.35,1133.7
1371-wepds,nao,homem,sim,sim,nao,40,sim,nao,dsl,nao,nao,nao,nao,nao,sim,anual,nao,cheque eletronico,1.9,55.8,2283.3
1373-orviz,sim,mulher,nao,sim,sim,11,sim,sim,dsl,nao,nao,nao,sim,nao,sim,mensal,sim,cheque eletronico,2.24,66.35,740.8
1374-dmzui,sim,mulher,sim,nao,nao,4,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,mensal,sim,cheque eletronico,3.54,94.3,424.45
1376-hhbdv,nao,mulher,nao,nao,nao,30,sim,nao,dsl,sim,nao,nao,nao,nao,nao,mensal,sim,cheque correios,1.71,48.8,1536.75
1379-frveb,nao,homem,nao,nao,sim,15,sim,sim,fibra otica,nao,sim,nao,nao,sim,nao,mensal,sim,cheque eletronico,3.18,91.0,1430.05
1383-ezrwl,sim,mulher,nao,nao,nao,7,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,nao,cheque correios,0.78,20.05,164.85
1384-rcuxw,nao,homem,nao,nao,nao,16,sim,sim,fibra otica,nao,sim,nao,nao,nao,nao,mensal,sim,cheque correios,2.6,80.55,1248.9
1385-tqozw,nao,mulher,nao,nao,nao,9,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,cartao credito automatico,0.55,20.45,147.55
1386-zikuv,nao,homem,nao,nao,nao,7,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,mensal,sim,cheque correios,0.62,18.95,130.55
1389-cxmlu,sim,homem,sim,nao,nao,3,sim,sim,fibra otica,nao,nao,sim,nao,sim,nao,mensal,nao,cheque eletronico,3.21,91.05,289.1
1389-wnuib,nao,mulher,nao,sim,sim,20,sim,sim,dsl,sim,nao,nao,nao,sim,sim,anual,nao,transferencia automatica,2.65,76.0,1588.75
1391-ubdar,nao,homem,nao,nao,nao,11,sim,nao,fibra otica,nao,nao,sim,nao,nao,nao,mensal,nao,cheque eletronico,2.48,72.9,818.45
1393-imkzg,nao,mulher,nao,nao,nao,1,sim,nao,fibra otica,nao,nao,nao,sim,sim,sim,mensal,sim,cheque eletronico,3.2,95.85,95.85
1394-suiuh,nao,mulher,sim,sim,nao,44,sim,nao,fibra otica,sim,sim,nao,sim,nao,nao,mensal,sim,cheque eletronico,2.78,85.15,3670.5
1395-ofuwc,nao,homem,nao,sim,sim,43,nao,sem telefone,dsl,nao,sim,nao,nao,nao,nao,mensal,nao,cartao credito automatico,0.95,29.3,1224.05
1395-wswxr,nao,homem,nao,nao,nao,24,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cheque correios,0.68,20.75,487.05
1396-qwfbj,sim,mulher,nao,sim,sim,21,sim,nao,fibra otica,nao,sim,nao,nao,nao,nao,mensal,sim,transferencia automatica,2.49,74.05,1565.7
1397-xkkwr,nao,homem,nao,nao,nao,7,nao,sem telefone,dsl,sim,nao,sim,nao,nao,nao,anual,nao,cheque correios,1.26,35.3,264.8
1399-oupjn,nao,mulher,nao,sim,sim,57,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,transferencia automatica,0.74,19.75,1272.05
1399-ubqiu,nao,homem,nao,nao,nao,11,sim,nao,dsl,nao,nao,sim,nao,sim,sim,mensal,sim,cheque eletronico,2.16,69.35,712.25
1400-mmyxy,sim,homem,sim,sim,nao,3,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mensal,sim,cheque eletronico,3.72,105.9,334.65
1400-wivll,nao,homem,nao,sim,nao,57,sim,sim,fibra otica,nao,nao,sim,sim,sim,sim,bienal,nao,cheque eletronico,3.49,107.95,5969.85
1401-fthfq,nao,homem,nao,sim,sim,23,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,sim,cartao credito automatico,0.65,20.0,445.3
1402-pthgn,nao,mulher,nao,sim,sim,18,sim,nao,dsl,sim,sim,nao,sim,nao,nao,anual,sim,cheque correios,2.01,61.5,1087.45
1403-gyafu,nao,homem,nao,sim,sim,70,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,bienal,nao,cartao credito automatico,0.65,20.05,1360.25
1403-lklik,nao,mulher,nao,sim,sim,33,sim,nao,nao,sem internet,sem internet,sem internet,sem internet,sem internet,sem internet,anual,nao,cheque correios,0.59,20.1,579.4
